Time	FuelConsumptionCar	FuelConsumptionBus	FuelConsumptionTruck	CarbonDioxideCar	CarbonDioxideBus	CarbonDioxideTruck	NitrogenOxidesCar	NitrogenOxidesBus	NitrogenOxidesTruck
0:30:00	1.18E+09	0	1585080.5	8.99E+07	0	121185.39	71159.81	0	93.95516
0:35:00	1.36E+09	0	1779169.5	1.04E+08	0	136024.23	82008.97	0	105.62242
0:40:00	1.44E+09	0	1840931.6	1.10E+08	0	140746.2	86938.87	0	109.20904
0:45:00	1.47E+09	0	1909248.8	1.12E+08	0	145969.27	88938.67	0	113.730415
0:50:00	1.48E+09	0	1970057.1	1.13E+08	0	150618.28	89595.234	0	117.56507
0:55:00	1.49E+09	0	1972838.8	1.13E+08	0	150830.94	89771.84	0	117.90375
1:00:00	1.48E+09	0	2097887	1.13E+08	0	160391.42	89687.39	0	124.575485
1:05:00	1.48E+09	0	2278577	1.13E+08	0	174205.78	89797.51	0	134.62283
1:10:00	1.49E+09	0	2428014.8	1.14E+08	0	185630.88	90323.484	0	143.73082
1:15:00	1.50E+09	0	2461494	1.15E+08	0	188190.5	91035.66	0	146.07822
1:20:00	1.51E+09	0	2497109.5	1.16E+08	0	190913.38	91776.31	0	148.39398
1:25:00	1.53E+09	0	2544513	1.17E+08	0	194537.55	92860.34	0	150.99951
1:30:00	1.56E+09	0	2486769	1.19E+08	0	190122.69	94204.734	0	147.48288
1:35:00	1.58E+09	0	2315011.2	1.21E+08	0	176991.25	95357.695	0	137.35533
1:40:00	1.59E+09	0	2222746.5	1.22E+08	0	169937.25	95976.875	0	130.82988
1:45:00	1.60E+09	0	2187458.2	1.23E+08	0	167239.4	96276.08	0	127.0298
1:50:00	1.62E+09	0	2087223	1.24E+08	0	159576.05	96929	0	120.67638
1:55:00	1.63E+09	0	1941541.8	1.25E+08	0	148438.17	97514.22	0	112.283775
2:00:00	1.64E+09	0	1797608.2	1.25E+08	0	137433.98	97703.305	0	104.2355
2:05:00	1.66E+09	0	1856630	1.27E+08	0	141946.39	98959.52	0	107.685356
2:10:00	1.72E+09	0	1984432.8	1.32E+08	0	151717.22	102174.63	0	115.071304
2:15:00	1.80E+09	0	1976873.8	1.38E+08	0	151139.22	106383.86	0	114.80081
2:20:00	1.89E+09	0	1894537.5	1.45E+08	0	144844.36	110787.3	0	109.58243
2:25:00	2.00E+09	0	1830761.2	1.53E+08	0	139968.44	116080.44	0	104.496605
2:30:00	2.12E+09	0	1912109.1	1.62E+08	0	146187.73	122155.35	0	108.45877
2:35:00	2.23E+09	0	1948525.8	1.70E+08	0	148971.98	127818.234	0	110.38821
2:40:00	2.30E+09	0	1953761.2	1.76E+08	0	149372.23	131681.33	0	110.70978
2:45:00	2.36E+09	0	2031834.9	1.81E+08	0	155341.22	134461.17	0	115.045105
2:50:00	2.41E+09	0	2109989	1.85E+08	0	161316.36	137245.86	0	119.579506
2:55:00	2.45E+09	0	2215383.5	1.88E+08	0	169374.11	139305.61	0	125.477455
3:00:00	2.48E+09	0	2247810	1.90E+08	0	171853.14	140750.08	0	127.07001
3:05:00	2.52E+09	0	2238434.2	1.93E+08	0	171136.28	142565.08	0	125.765335
3:10:00	2.57E+09	0	2198088.8	1.97E+08	0	168051.67	145111.81	0	123.11486
3:15:00	2.63E+09	0	2087616.5	2.02E+08	0	159605.66	148205.22	0	115.80145
3:20:00	2.70E+09	0	2146006.8	2.07E+08	0	164069.73	151482.31	0	118.6871
3:25:00	2.76E+09	0	2157244.8	2.11E+08	0	164928.9	154724.16	0	119.69128
3:30:00	2.82E+09	0	2055798.5	2.16E+08	0	157173.05	157867.97	0	114.090355
3:35:00	2.87E+09	0	1919340	2.20E+08	0	146740.31	160191.84	0	106.3125
3:40:00	2.91E+09	0	1706691.8	2.22E+08	0	130482.7	161935.98	0	93.41688
3:45:00	2.93E+09	0	1604316.2	2.24E+08	0	122655.875	162829.77	0	88.39215
3:50:00	2.94E+09	0	1315026.5	2.25E+08	0	100538.664	163137.97	0	71.97155
3:55:00	2.95E+09	0	1184513.9	2.26E+08	0	90560.56	163487.69	0	64.359055
4:00:00	2.95E+09	0	1214336.5	2.26E+08	0	92840.6	163375.06	0	65.84498
4:05:00	2.95E+09	0	1273693.8	2.26E+08	0	97378.67	162566.44	0	68.99333
4:10:00	2.92E+09	0	1362098.9	2.24E+08	0	104137.59	160425.92	0	74.33735
4:15:00	2.89E+09	0	1353106.4	2.21E+08	0	103450.055	158276.28	0	73.19499
4:20:00	2.86E+09	0	1487139.9	2.19E+08	0	113697.42	156158.98	0	80.19869
4:25:00	2.82E+09	0	1533289.5	2.16E+08	0	117225.68	153218.11	0	82.11781
4:30:00	2.78E+09	0	1437494.5	2.13E+08	0	109901.81	151055.69	0	76.74517
4:35:00	2.75E+09	0	1368235.8	2.11E+08	0	104606.75	150108	0	73.30077
4:40:00	2.72E+09	0	1323493	2.08E+08	0	101185.984	148892.81	0	70.66731
4:45:00	2.69E+09	0	1308138	2.06E+08	0	100012.03	147811.25	0	70.20453
4:50:00	2.67E+09	0	1278122.1	2.05E+08	0	97717.25	147145.19	0	69.156815
4:55:00	2.67E+09	0	1315272.8	2.04E+08	0	100557.57	147345.05	0	72.41981
5:00:00	2.65E+09	0	1431176.8	2.03E+08	0	109418.9	147256.77	0	78.827896
5:05:00	2.55E+09	0	1442973.6	1.99E+08	0	110320.79	143473.58	0	78.66167
5:10:00	2.34E+09	0	1363570.9	1.82E+08	0	104250.125	131466.58	0	74.088715
5:15:00	2.07E+09	0	1258979.9	1.59E+08	0	96253.76	115036.18	0	68.15697
5:20:00	1.72E+09	0	1095350.9	1.32E+08	0	83743.664	95669.28	0	59.201454
5:25:00	1.33E+09	0	828899.6	1.02E+08	0	63372.484	73781.05	0	44.19196
5:30:00	9.20E+08	0	520148.34	7.04E+07	0	39767.277	50956.492	0	27.394358
5:35:00	5.84E+08	0	305409.75	4.46E+07	0	23349.729	32463.086	0	16.346151
5:40:00	3.59E+08	0	171253.84	2.75E+07	0	13093.02	20125.22	0	9.37852
5:45:00	2.10E+08	0	72785.03	1.60E+07	0	5564.7	11834.705	0	4.0973682
5:50:00	1.14E+08	0	19415.645	8733598	0	1484.4022	6519.786	0	1.0743119
5:55:00	5.74E+07	0	0	4386985	0	0	3336.6475	0	0
6:00:00	2.55E+07	0	0	1946285.8	0	0	1516.8689	0	0
