Time	FuelConsumptionCar	FuelConsumptionBus	FuelConsumptionTruck	CarbonDioxideCar	CarbonDioxideBus	CarbonDioxideTruck	NitrogenOxidesCar	NitrogenOxidesBus	NitrogenOxidesTruck
0:30:00	1.18E+09	0	1585080.5	8.99E+07	0	121185.39	71159.81	0	93.95516
0:35:00	1.36E+09	0	1779169.5	1.04E+08	0	136024.23	82008.97	0	105.62242
0:40:00	1.44E+09	0	1840931.6	1.10E+08	0	140746.2	86938.87	0	109.20904
0:45:00	1.47E+09	0	1909248.8	1.12E+08	0	145969.27	88938.67	0	113.730415
0:50:00	1.48E+09	0	1970057.1	1.13E+08	0	150618.28	89595.234	0	117.56507
0:55:00	1.49E+09	0	1972838.8	1.13E+08	0	150830.94	89771.84	0	117.90375
1:00:00	1.48E+09	0	2097887	1.13E+08	0	160391.42	89687.39	0	124.575485
1:05:00	1.48E+09	0	2278577	1.13E+08	0	174205.78	89797.51	0	134.62283
1:10:00	1.49E+09	0	2428014.8	1.14E+08	0	185630.88	90323.484	0	143.73082
1:15:00	1.50E+09	0	2461494	1.15E+08	0	188190.5	91035.66	0	146.07822
1:20:00	1.51E+09	0	2497109.5	1.16E+08	0	190913.38	91776.31	0	148.39398
1:25:00	1.53E+09	0	2544513	1.17E+08	0	194537.55	92860.34	0	150.99951
1:30:00	1.56E+09	0	2486769	1.19E+08	0	190122.69	94204.734	0	147.48288
1:35:00	1.58E+09	0	2315011.2	1.21E+08	0	176991.25	95357.695	0	137.35533
1:40:00	1.59E+09	0	2222746.5	1.22E+08	0	169937.25	95976.875	0	130.82988
1:45:00	1.60E+09	0	2187458.2	1.23E+08	0	167239.4	96276.08	0	127.0298
1:50:00	1.62E+09	0	2087223	1.24E+08	0	159576.05	96929	0	120.67638
1:55:00	1.63E+09	0	1941541.8	1.25E+08	0	148438.17	97514.22	0	112.283775
2:00:00	1.64E+09	0	1797608.2	1.25E+08	0	137433.98	97703.305	0	104.2355
2:05:00	1.66E+09	0	1856462.479	1.27E+08	0	141729.06	98964.164	0	107.5205
2:10:00	1.72E+09	0	1980314.811	1.32E+08	0	151513.9	102043.61	0	114.86432
2:15:00	1.79E+09	0	1979241.586	1.37E+08	0	155160.22	105074.32	0	117.80965
2:20:00	1.89E+09	0	1896964.717	1.44E+08	0	144200.93	110975.67	0	108.99048
2:25:00	1.99E+09	0	1832977.548	1.52E+08	0	139624.65	116175.045	0	104.60501
2:30:00	2.11E+09	0	1914317.297	1.61E+08	0	143346.14	122397.385	0	107.52232
2:35:00	2.20E+09	0	1951227.449	1.68E+08	0	142707.22	126955.68	0	106.858168
2:40:00	2.26E+09	0	1961268.849	1.73E+08	0	143479.77	129843.83	0	106.468766
2:45:00	2.32E+09	0	2023952.073	1.78E+08	0	154466.83	132766.28	0	114.8072
2:50:00	2.39E+09	0	2095737.31	1.83E+08	0	162314.45	136670.97	0	119.55096
2:55:00	2.43E+09	0	2223375.455	1.86E+08	0	169542.47	138950.54	0	124.08498
3:00:00	2.46E+09	0	2268636.037	1.89E+08	0	185738.12	140745.09	0	135.19085
3:05:00	2.50E+09	0	2284125.04	1.92E+08	0	189938.1	142595.27	0	136.02631
3:10:00	2.58E+09	0	2205856.663	1.97E+08	0	180206.33	146437.7	0	129.223686
3:15:00	2.65E+09	0	2108708.121	2.03E+08	0	167391.89	147635.14	0	123.7977
3:20:00	2.72E+09	0	2157828.557	2.08E+08	0	165543.9863	152197.1068	0	119.5382084
3:25:00	2.79E+09	0	2133475.04	2.13E+08	0	163512.5819	155829.5347	0	118.5277781
3:30:00	2.86E+09	0	2025583.708	2.19E+08	0	153953.0581	159714.0824	0	111.5819886
3:35:00	2.91E+09	0	1865487.535	2.23E+08	0	141975.8012	162385.3593	0	102.7734663
3:40:00	2.94E+09	0	1685858.981	2.25E+08	0	128696.383	163859.1716	0	92.53556847
3:45:00	2.96E+09	0	1580808.877	2.26E+08	0	121620.3117	164486.6345	0	87.27773592
3:50:00	2.97E+09	0	1348864.855	2.27E+08	0	103671.8177	164599.5413	0	73.60549638
3:55:00	2.97E+09	0	1256508.556	2.27E+08	0	96618.13573	164481.4901	0	67.93473952
4:00:00	2.97E+09	0	1293230.953	2.27E+08	0	99400.6195	164067.0252	0	69.55176587
4:05:00	2.96E+09	0	1365653.049	2.26E+08	0	104893.6428	163135.1367	0	73.28237892
4:10:00	2.94E+09	0	1469348.829	2.25E+08	0	112628.8579	161356.0882	0	79.22494577
4:15:00	2.90E+09	0	1465738.133	2.22E+08	0	112390.186	159354.0141	0	78.83553238
4:20:00	2.87E+09	0	1595238.619	2.20E+08	0	122146.0424	157033.2831	0	86.2078747
4:25:00	2.82E+09	0	1642189.392	2.16E+08	0	125473.9517	154030.0065	0	88.52295301
4:30:00	2.78E+09	0	1506240.79	2.13E+08	0	115055.9942	151671.8085	0	81.34927766
4:35:00	2.74E+09	0	1391808.472	2.10E+08	0	106133.7902	149775.4642	0	75.60378846
4:40:00	2.71E+09	0	1317075.164	2.08E+08	0	100333.1611	148622.6496	0	71.6546047
4:45:00	2.69E+09	0	1260900.042	2.06E+08	0	95824.60673	147550.2782	0	69.01542786
4:50:00	2.67E+09	0	1174097.532	2.04E+08	0	89083.97478	146892.9013	0	64.46554799
4:55:00	2.66E+09	0	1148055.461	2.04E+08	0	87387.37253	147095.9791	0	63.92014516
5:00:00	2.64E+09	0	1276496.735	2.03E+08	0	96949.97355	146958.9452	0	70.73925859
5:05:00	2.62E+09	0	1374025.1	2.01E+08	0	105049.414	144608.6	0	75.89398
5:10:00	2.41E+09	0	1283121.6	1.85E+08	0	98099.51	132871.7	0	70.67308
5:15:00	2.12E+09	0	1153101.5	1.62E+08	0	88158.97	116991.39	0	63.327507
5:20:00	1.77E+09	0	958210.94	1.36E+08	0	73258.86	97878.19	0	52.52377
5:25:00	1.38E+09	0	712590.4	1.06E+08	0	54480.246	76443.87	0	38.925495
5:30:00	9.72E+08	0	431368.62	7.44E+07	0	32979.797	53610.9	0	23.630074
5:35:00	6.25E+08	0	210801.05	4.78E+07	0	16116.5625	34573.152	0	11.76386
5:40:00	3.91E+08	0	81527.9	2.99E+07	0	6233.1265	21777.15	0	4.668013
5:45:00	2.31E+08	0	13251.412	1.77E+07	0	1013.1224	13008.001	0	0.7401651
5:50:00	1.28E+08	0	787.2258	9781612	0	60.186504	7315.089	0	0.045480467
5:55:00	6.42E+07	0	0	4909984.5	0	0	3722.4722	0	0
6:00:00	2.83E+07	0	0	2162904	0	0	1652.0073	0	0
