Time	FuelConsumptionCar	FuelConsumptionBus	FuelConsumptionTruck	CarbonDioxideCar	CarbonDioxideBus	CarbonDioxideTruck	NitrogenOxidesCar	NitrogenOxidesBus	NitrogenOxidesTruck
0:30:00	1.18E+09	0.00E+00	1.59E+06	8.99E+07	0.00E+00	1.21E+05	7.12E+04	0.00E+00	9.40E+01
0:35:00	1.36E+09	0.00E+00	1.78E+06	1.04E+08	0.00E+00	1.36E+05	8.20E+04	0.00E+00	1.06E+02
0:40:00	1.44E+09	0.00E+00	1.84E+06	1.10E+08	0.00E+00	1.41E+05	8.69E+04	0.00E+00	1.09E+02
0:45:00	1.47E+09	0.00E+00	1.91E+06	1.12E+08	0.00E+00	1.46E+05	8.89E+04	0.00E+00	1.14E+02
0:50:00	1.48E+09	0.00E+00	1.97E+06	1.13E+08	0.00E+00	1.51E+05	8.96E+04	0.00E+00	1.18E+02
0:55:00	1.49E+09	0.00E+00	1.97E+06	1.13E+08	0.00E+00	1.51E+05	8.98E+04	0.00E+00	1.18E+02
1:00:00	1.48E+09	0.00E+00	2.10E+06	1.13E+08	0.00E+00	1.60E+05	8.97E+04	0.00E+00	1.25E+02
1:05:00	1.48E+09	0.00E+00	2.28E+06	1.13E+08	0.00E+00	1.74E+05	8.98E+04	0.00E+00	1.35E+02
1:10:00	1.49E+09	0.00E+00	2.43E+06	1.14E+08	0.00E+00	1.86E+05	9.03E+04	0.00E+00	1.44E+02
1:15:00	1.50E+09	0.00E+00	2.46E+06	1.15E+08	0.00E+00	1.88E+05	9.10E+04	0.00E+00	1.46E+02
1:20:00	1.51E+09	0.00E+00	2.50E+06	1.16E+08	0.00E+00	1.91E+05	9.18E+04	0.00E+00	1.48E+02
1:25:00	1.53E+09	0.00E+00	2.54E+06	1.17E+08	0.00E+00	1.95E+05	9.29E+04	0.00E+00	1.51E+02
1:30:00	1.56E+09	0.00E+00	2.49E+06	1.19E+08	0.00E+00	1.90E+05	9.42E+04	0.00E+00	1.47E+02
1:35:00	1.58E+09	0.00E+00	2.32E+06	1.21E+08	0.00E+00	1.77E+05	9.54E+04	0.00E+00	1.37E+02
1:40:00	1.59E+09	0.00E+00	2.22E+06	1.22E+08	0.00E+00	1.70E+05	9.60E+04	0.00E+00	1.31E+02
1:45:00	1.60E+09	0.00E+00	2.19E+06	1.23E+08	0.00E+00	1.67E+05	9.63E+04	0.00E+00	1.27E+02
1:50:00	1.62E+09	0.00E+00	2.09E+06	1.24E+08	0.00E+00	1.60E+05	9.69E+04	0.00E+00	1.21E+02
1:55:00	1.63E+09	0.00E+00	1.94E+06	1.25E+08	0.00E+00	1.48E+05	9.75E+04	0.00E+00	1.12E+02
2:00:00	1.64E+09	0.00E+00	1.80E+06	1.25E+08	0.00E+00	1.37E+05	9.77E+04	0.00E+00	1.04E+02
2:05:00	1.66E+09	0.00E+00	1.86E+06	1.27E+08	0.00E+00	1.42E+05	9.90E+04	0.00E+00	1.08E+02
2:10:00	1.72E+09	0.00E+00	1.97E+06	1.32E+08	0.00E+00	1.51E+05	1.02E+05	0.00E+00	1.14E+02
2:15:00	1.80E+09	0.00E+00	1.99E+06	1.38E+08	0.00E+00	1.52E+05	1.06E+05	0.00E+00	1.15E+02
2:20:00	1.89E+09	0.00E+00	1.92E+06	1.45E+08	0.00E+00	1.47E+05	1.11E+05	0.00E+00	1.11E+02
2:25:00	2.00E+09	0.00E+00	1.84E+06	1.53E+08	0.00E+00	1.41E+05	1.16E+05	0.00E+00	1.05E+02
2:30:00	2.12E+09	0.00E+00	1.92E+06	1.62E+08	0.00E+00	1.47E+05	1.22E+05	0.00E+00	1.09E+02
2:35:00	2.23E+09	0.00E+00	1.95E+06	1.71E+08	0.00E+00	1.49E+05	1.28E+05	0.00E+00	1.10E+02
2:40:00	2.30E+09	0.00E+00	1.97E+06	1.77E+08	0.00E+00	1.50E+05	1.32E+05	0.00E+00	1.11E+02
2:45:00	2.36E+09	0.00E+00	2.01E+06	1.81E+08	0.00E+00	1.53E+05	1.34E+05	0.00E+00	1.13E+02
2:50:00	2.41E+09	0.00E+00	2.07E+06	1.85E+08	0.00E+00	1.58E+05	1.37E+05	0.00E+00	1.17E+02
2:55:00	2.45E+09	0.00E+00	2.20E+06	1.88E+08	0.00E+00	1.68E+05	1.39E+05	0.00E+00	1.25E+02
3:00:00	2.48E+09	0.00E+00	2.24E+06	1.90E+08	0.00E+00	1.71E+05	1.40E+05	0.00E+00	1.27E+02
3:05:00	2.51E+09	0.00E+00	2.19E+06	1.92E+08	0.00E+00	1.68E+05	1.42E+05	0.00E+00	1.24E+02
3:10:00	2.56E+09	0.00E+00	2.13E+06	1.96E+08	0.00E+00	1.63E+05	1.44E+05	0.00E+00	1.20E+02
3:15:00	2.62E+09	0.00E+00	2.06E+06	2.01E+08	0.00E+00	1.58E+05	1.48E+05	0.00E+00	1.15E+02
3:20:00	2.69E+09	0.00E+00	2.11E+06	2.06E+08	0.00E+00	1.62E+05	1.51E+05	0.00E+00	1.18E+02
3:25:00	2.76E+09	0.00E+00	2.09E+06	2.11E+08	0.00E+00	1.60E+05	1.55E+05	0.00E+00	1.17E+02
3:30:00	2.82E+09	0.00E+00	2.01E+06	2.16E+08	0.00E+00	1.53E+05	1.58E+05	0.00E+00	1.12E+02
3:35:00	2.87E+09	0.00E+00	1.89E+06	2.20E+08	0.00E+00	1.44E+05	1.60E+05	0.00E+00	1.06E+02
3:40:00	2.90E+09	0.00E+00	1.69E+06	2.23E+08	0.00E+00	1.29E+05	1.62E+05	0.00E+00	9.42E+01
3:45:00	2.93E+09	0.00E+00	1.54E+06	2.24E+08	0.00E+00	1.18E+05	1.63E+05	0.00E+00	8.58E+01
3:50:00	2.94E+09	0.00E+00	1.28E+06	2.25E+08	0.00E+00	9.79E+04	1.64E+05	0.00E+00	7.02E+01
3:55:00	2.95E+09	0.00E+00	1.17E+06	2.26E+08	0.00E+00	8.98E+04	1.64E+05	0.00E+00	6.37E+01
4:00:00	2.95E+09	0.00E+00	1.29E+06	2.26E+08	0.00E+00	9.22E+04	1.63E+05	0.00E+00	6.50E+01
4:05:00	2.95E+09	0.00E+00	1.37E+06	2.26E+08	0.00E+00	9.91E+04	1.62E+05	0.00E+00	7.61E+01
4:10:00	2.92E+09	0.00E+00	1.47E+06	2.24E+08	0.00E+00	1.07E+05	1.60E+05	0.00E+00	8.23E+01
4:15:00	2.89E+09	0.00E+00	1.47E+06	2.21E+08	0.00E+00	1.09E+05	1.58E+05	0.00E+00	8.00E+01
4:20:00	2.86E+09	0.00E+00	1.60E+06	2.19E+08	0.00E+00	1.21E+05	1.56E+05	0.00E+00	8.70E+01
4:25:00	2.82E+09	0.00E+00	1.64E+06	2.16E+08	0.00E+00	1.24E+05	1.53E+05	0.00E+00	8.99E+01
4:30:00	2.78E+09	0.00E+00	1.51E+06	2.13E+08	0.00E+00	1.13E+05	1.51E+05	0.00E+00	8.29E+01
4:35:00	2.75E+09	0.00E+00	1.39E+06	2.10E+08	0.00E+00	1.06E+05	1.50E+05	0.00E+00	7.66E+01
4:40:00	2.72E+09	0.00E+00	1.32E+06	2.08E+08	0.00E+00	1.03E+05	1.49E+05	0.00E+00	7.13E+01
4:45:00	2.69E+09	0.00E+00	1.26E+06	2.06E+08	0.00E+00	9.94E+04	1.48E+05	0.00E+00	6.84E+01
4:50:00	2.67E+09	0.00E+00	1.17E+06	2.05E+08	0.00E+00	9.37E+04	1.47E+05	0.00E+00	6.30E+01
4:55:00	2.67E+09	0.00E+00	1.15E+06	2.04E+08	0.00E+00	9.41E+04	1.47E+05	0.00E+00	6.04E+01
5:00:00	2.65E+09	0.00E+00	1.28E+06	2.03E+08	0.00E+00	1.05E+05	1.47E+05	0.00E+00	6.64E+01
5:05:00	2.56E+09	0.00E+00	1.40E+06	1.96E+08	0.00E+00	1.07E+05	1.42E+05	0.00E+00	7.71E+01
5:10:00	2.34E+09	0.00E+00	1.30E+06	1.79E+08	0.00E+00	9.90E+04	1.30E+05	0.00E+00	7.12E+01
5:15:00	2.04E+09	0.00E+00	1.17E+06	1.56E+08	0.00E+00	8.93E+04	1.14E+05	0.00E+00	6.44E+01
5:20:00	1.69E+09	0.00E+00	9.76E+05	1.29E+08	0.00E+00	7.46E+04	9.42E+04	0.00E+00	5.37E+01
5:25:00	1.30E+09	0.00E+00	7.27E+05	9.94E+07	0.00E+00	5.55E+04	7.26E+04	0.00E+00	3.99E+01
5:30:00	8.86E+08	0.00E+00	4.26E+05	6.78E+07	0.00E+00	3.25E+04	4.96E+04	0.00E+00	2.33E+01
5:35:00	5.46E+08	0.00E+00	2.01E+05	4.17E+07	0.00E+00	1.54E+04	3.08E+04	0.00E+00	1.10E+01
5:40:00	3.21E+08	0.00E+00	8.56E+04	2.45E+07	0.00E+00	6.54E+03	1.83E+04	0.00E+00	4.81E+00
5:45:00	1.74E+08	0.00E+00	1.82E+04	1.33E+07	0.00E+00	1.39E+03	9.97E+03	0.00E+00	9.94E-01
5:50:00	8.50E+07	0.00E+00	7.87E+02	6.50E+06	0.00E+00	6.02E+01	4.97E+03	0.00E+00	4.55E-02
5:55:00	3.42E+07	0.00E+00	0.00E+00	2.62E+06	0.00E+00	0.00E+00	2.06E+03	0.00E+00	0.00E+00
6:00:00	1.06E+07	0.00E+00	0.00E+00	8.14E+05	0.00E+00	0.00E+00	6.52E+02	0.00E+00	0.00E+00
