Time	FuelConsumptionCar	FuelConsumptionBus	FuelConsumptionTruck	CarbonDioxideCar	CarbonDioxideBus	CarbonDioxideTruck	NitrogenOxidesCar	NitrogenOxidesBus	NitrogenOxidesTruck
0:30:00	1.18E+09	0	1585081	8.99E+07	0	121185	71160	0	94
0:35:00	1.36E+09	0	1779170	1.04E+08	0	136024	82009	0	106
0:40:00	1.43E+09	0	1824716	1.09E+08	0	139506	86173	0	108
0:45:00	1.48E+09	0	1915305	1.13E+08	0	146432	89221	0	114
0:50:00	1.48E+09	0	1966561	1.13E+08	0	150351	89436	0	117
0:55:00	1.48E+09	0	1966456	1.13E+08	0	150343	89481	0	118
1:00:00	1.48E+09	0	2088582	1.13E+08	0	159680	89290	0	124
1:05:00	1.48E+09	0	2268914	1.13E+08	0	173467	89417	0	134
1:10:00	1.49E+09	0	2419715	1.13E+08	0	184996	90015	0	143
1:15:00	1.51E+09	0	2466392	1.15E+08	0	188565	91217	0	146
1:20:00	1.52E+09	0	2498632	1.16E+08	0	191030	91832	0	148
1:25:00	1.54E+09	0	2552268	1.18E+08	0	195130	93143	0	151
1:30:00	1.56E+09	0	2491825	1.19E+08	0	190509	94396	0	148
1:35:00	1.59E+09	0	2323528	1.21E+08	0	177642	95709	0	138
1:40:00	1.59E+09	0	2218691	1.22E+08	0	169627	95802	0	131
1:45:00	1.58E+09	0	2158374	1.21E+08	0	165016	94996	0	125
1:50:00	1.62E+09	0	2089421	1.24E+08	0	159744	97031	0	121
1:55:00	1.64E+09	0	1947626	1.25E+08	0	148903	97820	0	113
2:00:00	1.63E+09	0	1785869	1.24E+08	0	136536	97065	0	104
2:05:00	1.65E+09	0	1837466	1.26E+08	0	140481	98093	0	107
2:10:00	1.72E+09	0	1978909	1.31E+08	0	151295	101896	0	115
2:15:00	1.80E+09	0	1981381	1.37E+08	0	151484	105919	0	115
2:20:00	1.88E+09	0	1906180	1.44E+08	0	145734	110036	0	110
2:25:00	1.98E+09	0	1826953	1.52E+08	0	139677	115016	0	104
2:30:00	2.11E+09	0	1910382	1.62E+08	0	146056	121467	0	108
2:35:00	2.22E+09	0	1956979	1.70E+08	0	149618	126975	0	110
2:40:00	2.29E+09	0	1977152	1.75E+08	0	151160	130540	0	112
2:45:00	2.33E+09	0	2024873	1.79E+08	0	154809	132624	0	114
2:50:00	2.42E+09	0	2098055	1.86E+08	0	160404	137521	0	118
2:55:00	2.44E+09	0	2199855	1.87E+08	0	168187	138389	0	124
3:00:00	2.49E+09	0	2267207	1.91E+08	0	173336	140612	0	128
3:05:00	2.53E+09	0	2246651	1.94E+08	0	171764	142673	0	126
3:10:00	2.59E+09	0	2158051	1.98E+08	0	164991	145606	0	120
3:15:00	2.62E+09	0	2046601	2.01E+08	0	156470	147048	0	113
3:20:00	2.71E+09	0	2173813	2.08E+08	0	166196	151720	0	121
3:25:00	2.78E+09	0	2164102	2.13E+08	0	165453	155192	0	120
3:30:00	2.85E+09	0	2051688	2.18E+08	0	156859	158879	0	114
3:35:00	2.89E+09	0	1907291	2.21E+08	0	145819	160604	0	106
3:40:00	2.92E+09	0	1713156	2.23E+08	0	130977	161996	0	95
3:45:00	2.94E+09	0	1582129	2.25E+08	0	120960	162673	0	87
3:50:00	2.98E+09	0	1305743	2.28E+08	0	99829	164322	0	71
3:55:00	3.00E+09	0	1180296	2.29E+08	0	90238	165053	0	64
4:00:00	2.96E+09	0	1198430	2.26E+08	0	91625	162666	0	65
4:05:00	3.01E+09	0	1296522	2.31E+08	0	99124	165305	0	70
4:10:00	2.95E+09	0	1381605	2.26E+08	0	105629	161521	0	75
4:15:00	2.93E+09	0	1400832	2.24E+08	0	107099	159914	0	76
4:20:00	2.97E+09	0	1556964	2.27E+08	0	119036	161865	0	84
4:25:00	2.93E+09	0	1621304	2.24E+08	0	123955	159037	0	87
4:30:00	2.87E+09	0	1506724	2.19E+08	0	115195	155491	0	81
4:35:00	2.86E+09	0	1413162	2.19E+08	0	108042	155271	0	76
4:40:00	2.78E+09	0	1343159	2.13E+08	0	102690	151182	0	73
4:45:00	2.78E+09	0	1311658	2.13E+08	0	100281	151172	0	72
4:50:00	2.72E+09	0	1240634	2.08E+08	0	94851	148431	0	68
4:55:00	2.71E+09	0	1229851	2.07E+08	0	94027	148345	0	68
5:00:00	2.69E+09	0	1316777	2.06E+08	0	100673	148212	0	73
5:05:00	2.62E+09	0	1374286	2.01E+08	0	105069	144636	0	76
5:10:00	2.41E+09	0	1285225	1.85E+08	0	98260	133089	0	71
5:15:00	2.12E+09	0	1151470	1.62E+08	0	88034	116826	0	63
5:20:00	1.75E+09	0	947220	1.34E+08	0	72419	96756	0	52
5:25:00	1.39E+09	0	714070	1.06E+08	0	54593	76603	0	39
5:30:00	9.65E+08	0	427974	7.38E+07	0	32720	53189	0	23
5:35:00	6.28E+08	0	211612	4.80E+07	0	16179	34706	0	12
5:40:00	3.90E+08	0	81363	2.98E+07	0	6221	21733	0	5
5:45:00	2.30E+08	0	13179	1.76E+07	0	1008	12937	0	1
5:50:00	1.27E+08	0	782	9718753	0	60	7268	0	0
5:55:00	6.41E+07	0	0	4899263	0	0	3714	0	0
6:00:00	2.82E+07	0	0	2153807	0	0	1645	0	0
