Time	FuelConsumptionCar	FuelConsumptionBus	FuelConsumptionTruck	CarbonDioxideCar	CarbonDioxideBus	CarbonDioxideTruck	NitrogenOxidesCar	NitrogenOxidesBus	NitrogenOxidesTruck
0:30:00	1.18E+09	0	1585080.5	8.99E+07	0	121185.39	71159.81	0	93.95516
0:35:00	1.36E+09	0	1779169.5	1.04E+08	0	136024.23	82008.97	0	105.62242
0:40:00	1.46E+09	0	1869058.275	1.12E+08	0	142896.5909	88267.16557	0	110.8775904
0:45:00	1.47E+09	0	1912338.962	1.13E+08	0	146205.5245	89082.61923	0	113.9144902
0:50:00	1.48E+09	0	1962571.546	1.13E+08	0	150045.9812	89254.80226	0	117.1183623
0:55:00	1.51E+09	0	1998773.856	1.15E+08	0	152813.7724	90951.98592	0	119.4537197
1:00:00	1.50E+09	0	2127642.25	1.15E+08	0	162666.3217	90959.46554	0	126.3423937
1:05:00	1.49E+09	0	2289663.941	1.14E+08	0	175053.4184	90234.44049	0	135.2778684
1:10:00	1.50E+09	0	2433288.929	1.14E+08	0	186034.1071	90519.68452	0	144.0430319
1:15:00	1.51E+09	0	2470432.197	1.15E+08	0	188873.8588	91366.22942	0	146.6086604
1:20:00	1.52E+09	0	2514369.54	1.17E+08	0	192232.9748	92410.66857	0	149.4196803
1:25:00	1.55E+09	0	2576952.658	1.19E+08	0	197017.6833	94044.20414	0	152.9245827
1:30:00	1.57E+09	0	2496603.644	1.20E+08	0	190874.5849	94577.29373	0	148.0661435
1:35:00	1.60E+09	0	2333691.423	1.22E+08	0	178419.4228	96127.15263	0	138.4636737
1:40:00	1.61E+09	0	2243339.41	1.23E+08	0	171511.6547	96866.06464	0	132.0419696
1:45:00	1.63E+09	0	2216879.018	1.24E+08	0	169488.7321	97570.97149	0	128.738322
1:50:00	1.63E+09	0	2101216.953	1.24E+08	0	160645.9404	97578.86819	0	121.4854644
1:55:00	1.64E+09	0	1948529.158	1.25E+08	0	148972.3797	97865.16105	0	112.6878697
2:00:00	1.64E+09	0	1805008.99	1.26E+08	0	137999.7985	98105.55152	0	104.6646397
2:05:00	1.66E+09	0	1851878.366	1.27E+08	0	141379.0922	98719.79439	0	107.2550024
2:10:00	1.73E+09	0	1989837.714	1.32E+08	0	152242.4974	102534.3155	0	115.4166775
2:15:00	1.81E+09	0	1995901.34	1.38E+08	0	156466.2409	105958.7558	0	118.8012822
2:20:00	1.90E+09	0	1918064.374	1.46E+08	0	145804.8556	112210.0359	0	110.202765
2:25:00	2.00E+09	0	1840658.505	1.53E+08	0	140209.7368	116661.868	0	105.0433496
2:30:00	2.13E+09	0	1930335.892	1.63E+08	0	144545.6296	123421.5799	0	108.4220436
2:35:00	2.21E+09	0	1958750.929	1.69E+08	0	143257.4659	127445.1917	0	107.2701883
2:40:00	2.28E+09	0	1968279.461	1.74E+08	0	143992.6426	130307.9605	0	106.8493416
2:45:00	2.34E+09	0	2037525.474	1.79E+08	0	155502.7439	133656.6617	0	115.5771412
2:50:00	2.40E+09	0	2108557.218	1.84E+08	0	163307.3494	137507.0047	0	120.2822694
2:55:00	2.44E+09	0	2237493.873	1.87E+08	0	170619.0634	139832.8749	0	124.8729187
3:00:00	2.50E+09	0	2297670.425	1.91E+08	0	188115.228	142546.3696	0	136.9210454
3:05:00	2.53E+09	0	2310910.011	1.94E+08	0	192165.424	144267.4246	0	137.6214332
3:10:00	2.58E+09	0	2209955.426	1.98E+08	0	180541.1763	146709.7998	0	129.4638
3:15:00	2.63E+09	0	2099919.495	2.01E+08	0	166694.2378	147019.8295	0	123.2817387
3:20:00	2.72E+09	0	2162690.83	2.08E+08	0	165917.0095	152540.0552	0	119.8075659
3:25:00	2.80E+09	0	2143331.71	2.14E+08	0	164268.0111	156549.4682	0	119.0753773
3:30:00	2.85E+09	0	2014998.627	2.18E+08	0	153148.5465	158879.4655	0	110.9988952
3:35:00	2.94E+09	0	1885659.243	2.25E+08	0	143511.0001	164141.249	0	103.8847664
3:40:00	2.98E+09	0	1708263.077	2.28E+08	0	130406.684	166036.7658	0	93.76531299
3:45:00	3.02E+09	0	1612529.593	2.31E+08	0	124060.7607	167787.2447	0	89.02906229
3:50:00	3.02E+09	0	1373715.523	2.31E+08	0	105581.8045	167632.0236	0	74.96155945
3:55:00	3.02E+09	0	1277220.368	2.31E+08	0	98210.75253	167192.7408	0	69.05455007
4:00:00	3.00E+09	0	1307574.825	2.29E+08	0	100503.1216	165886.7747	0	70.32319934
4:05:00	2.99E+09	0	1379583.717	2.28E+08	0	105963.6353	164799.2354	0	74.02991323
4:10:00	2.97E+09	0	1486865.118	2.28E+08	0	113971.5205	163279.6341	0	80.16939614
4:15:00	2.90E+09	0	1463141.838	2.22E+08	0	112191.1068	159071.7467	0	78.69588921
4:20:00	2.89E+09	0	1606181.102	2.21E+08	0	122983.8989	158110.4475	0	86.7992146
4:25:00	2.83E+09	0	1649180.095	2.16E+08	0	126008.0869	154685.7031	0	88.89979
4:30:00	2.84E+09	0	1538562.825	2.17E+08	0	117524.9513	154926.4949	0	83.09493094
4:35:00	2.74E+09	0	1391568.493	2.10E+08	0	106115.4903	149749.6393	0	75.59075261
4:40:00	2.75E+09	0	1334822.885	2.11E+08	0	101685.1606	150625.3549	0	72.62015777
4:45:00	2.70E+09	0	1268907.645	2.08E+08	0	96433.16046	148487.3264	0	69.45372443
4:50:00	2.69E+09	0	1186431.496	2.07E+08	0	90019.80729	148436.02	0	65.14276244
4:55:00	2.68E+09	0	1157625.622	2.05E+08	0	88115.83141	148322.1674	0	64.45298183
5:00:00	2.67E+09	0	1289241.876	2.04E+08	0	97917.96746	148426.2521	0	71.44555245
5:05:00	2.64E+09	0	1384779.915	2.02E+08	0	105871.6602	145740.4852	0	76.48801988
5:10:00	2.43E+09	0	1293342.553	1.86E+08	0	98880.94056	133930.1151	0	71.23604004
5:15:00	2.12E+09	0	1152709.594	1.62E+08	0	88129.00731	116951.628	0	63.30598381
5:20:00	1.76E+09	0	952324.2809	1.34E+08	0	72808.80259	97276.88656	0	52.20109624
5:25:00	1.40E+09	0	720039.9526	1.07E+08	0	55049.79263	77243.02844	0	39.33242937
5:30:00	9.74E+08	0	431878.6483	7.45E+07	0	33018.79064	53674.2868	0	23.658013
5:35:00	6.33E+08	0	213463.4846	4.84E+07	0	16320.116	35009.81375	0	11.91243852
5:40:00	3.93E+08	0	82031.1669	3.01E+07	0	6271.603221	21911.57905	0	4.696828367
5:45:00	2.31E+08	0	13220.45198	1.76E+07	0	1010.755385	12977.60968	0	0.738435811
5:50:00	1.30E+08	0	796.4072927	9891777.846	0	60.88846518	7400.40561	0	0.04601091
5:55:00	6.53E+07	0	0	4989335.704	0	0	3783.266139	0	0
6:00:00	2.85E+07	0	0	2182814.356	0	0	1663.618275	0	0
