			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance				
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			
Entire System	00:30:00	Car	48514	98.82	379608.81	7.82	71775.19	1.48	228075.75	4.70			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	579	1.18	6628.80	11.45	445.28	0.77	6484.92	11.20			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	49093	100.00	386738.72	7.88	72331.89	1.47	234825.67	4.78			Truck	2	N/A	500.80	250.40	111.43	55.72	265.01	132.50			
Greenville Ave Northbound	00:30:00	Car	3513	100.00	7390.10	2.10	1467.80	0.42	3631.10	1.03			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3513	100.00	7402.90	2.11	1469.86	0.42	3638.11	1.04			Truck	2	N/A	12.80	6.40	2.06	1.03	7.01	3.50			
Greenville Ave Southbound	00:30:00	Car	2533	100.00	6133.90	2.42	1070.61	0.42	3176.39	1.25			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2533	100.00	6140.00	2.42	1071.26	0.42	3179.82	1.26			Truck	4	N/A	6.10	1.53	0.64	0.16	3.42	0.86			
IH 635 Eastbound	00:30:00	Car	3382	100.00	15610.62	4.62	3200.89	0.95	14121.65	4.18			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3382	100.00	15610.62	4.62	3200.89	0.95	14121.65	4.18			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:30:00	Car	2053	100.00	7056.70	3.44	405.40	0.20	7550.29	3.68			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2053	100.00	7056.70	3.44	405.40	0.20	7550.29	3.68			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:30:00	Car	595	100.00	2065.60	3.47	111.60	0.19	2240.14	3.76			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	595	100.00	2065.60	3.47	111.60	0.19	2240.14	3.76			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:30:00	Car	836	100.00	2908.70	3.48	183.50	0.22	3102.35	3.71			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	836	100.00	2908.70	3.48	183.50	0.22	3102.35	3.71			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:30:00	Car	9292	100.00	14467.31	1.56	3644.30	0.39	7330.98	0.79			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	9292	100.00	14487.11	1.56	3650.02	0.39	7340.86	0.79			Truck	9	N/A	19.80	2.20	5.72	0.64	9.89	1.10			
US 75 Frontage Rd Southbound	00:30:00	Car	9627	100.00	14677.71	1.52	2810.39	0.29	7834.67	0.81			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	9627	100.00	14716.71	1.53	2817.12	0.29	7857.05	0.82			Truck	10	N/A	39.00	3.90	6.73	0.67	22.38	2.24			
US 75 HOV Northbound	00:30:00	Car	60	100.00	302.20	5.04	7.91	0.13	303.81	5.06			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	60	100.00	302.20	5.04	7.91	0.13	303.81	5.06			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 HOV Southbound	00:30:00	Car	56	100.00	384.80	6.87	13.26	0.24	386.06	6.89			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	56	100.00	384.80	6.87	13.26	0.24	386.06	6.89			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Northbound	00:30:00	Car	4804	100.00	32602.71	6.79	7499.04	1.56	28082.10	5.85			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4804	100.00	32632.31	6.79	7500.97	1.56	28113.13	5.85			Truck	5	N/A	29.60	5.92	1.93	0.39	31.02	6.20			
US 75 Southbound	00:30:00	Car	4688	100.00	28638.30	6.11	2784.22	0.59	29125.42	6.21			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4688	100.00	28658.30	6.11	2785.36	0.59	29146.68	6.22			Truck	3	N/A	20.00	6.67	1.13	0.38	21.26	7.09			
Entire System	00:35:00	Car	55791	98.74	439392.91	7.88	85393.85	1.53	264204.69	4.74			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	714	1.26	8167.20	11.44	553.08	0.77	7983.60	11.18			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	56505	100.00	448122.22	7.93	86069.72	1.52	272488.59	4.82			Truck	4	N/A	561.80	140.45	122.79	30.70	300.33	75.08			
