Time	FuelConsumptionCar	FuelConsumptionBus	FuelConsumptionTruck	CarbonDioxideCar	CarbonDioxideBus	CarbonDioxideTruck	NitrogenOxidesCar	NitrogenOxidesBus	NitrogenOxidesTruck
0:30:00	1.18E+09	0	1585080.5	8.99E+07	0	121185.39	71159.81	0	93.95516
0:35:00	1.36E+09	0	1779169.5	1.04E+08	0	136024.23	82008.97	0	105.62242
0:40:00	1.44E+09	0	1840931.6	1.10E+08	0	140746.2	86938.87	0	109.20904
0:45:00	1.47E+09	0	1909248.8	1.12E+08	0	145969.27	88938.67	0	113.730415
0:50:00	1.48E+09	0	1970057.1	1.13E+08	0	150618.28	89595.234	0	117.56507
0:55:00	1.49E+09	0	1972838.8	1.13E+08	0	150830.94	89771.84	0	117.90375
1:00:00	1.48E+09	0	2097887	1.13E+08	0	160391.42	89687.39	0	124.575485
1:05:00	1.48E+09	0	2278577	1.13E+08	0	174205.78	89797.51	0	134.62283
1:10:00	1.49E+09	0	2428014.8	1.14E+08	0	185630.88	90323.484	0	143.73082
1:15:00	1.50E+09	0	2461494	1.15E+08	0	188190.5	91035.66	0	146.07822
1:20:00	1.51E+09	0	2497109.5	1.16E+08	0	190913.38	91776.31	0	148.39398
1:25:00	1.53E+09	0	2544513	1.17E+08	0	194537.55	92860.34	0	150.99951
1:30:00	1.56E+09	0	2486769	1.19E+08	0	190122.69	94204.734	0	147.48288
1:35:00	1.58E+09	0	2315011.2	1.21E+08	0	176991.25	95357.695	0	137.35533
1:40:00	1.59E+09	0	2222746.5	1.22E+08	0	169937.25	95976.875	0	130.82988
1:45:00	1.60E+09	0	2187458.2	1.23E+08	0	167239.4	96276.08	0	127.0298
1:50:00	1.62E+09	0	2087223	1.24E+08	0	159576.05	96929	0	120.67638
1:55:00	1.63E+09	0	1941541.8	1.25E+08	0	148438.17	97514.22	0	112.283775
2:00:00	1.64E+09	0	1797608.2	1.25E+08	0	137433.98	97703.305	0	104.2355
2:05:00	1.66E+09	0	1854630	1.27E+08	0	141793.47	98960.984	0	107.56627
2:10:00	1.72E+09	0	1982535.8	1.32E+08	0	151572.16	102076.14	0	114.99271
2:15:00	1.80E+09	0	1989817.5	1.38E+08	0	152128.7	106079.766	0	115.50574
2:20:00	1.89E+09	0	1905514.2	1.44E+08	0	145683.44	110414.56	0	110.23601
2:25:00	1.99E+09	0	1844855.9	1.52E+08	0	141045.89	115715.086	0	105.58956
2:30:00	2.12E+09	0	1913275.8	1.62E+08	0	146276.8	121929.375	0	108.86337
2:35:00	2.22E+09	0	1946777.9	1.70E+08	0	148838.17	127520.11	0	110.52833
2:40:00	2.30E+09	0	1947883.2	1.76E+08	0	148922.78	131036.914	0	110.46398
2:45:00	2.35E+09	0	2000406.5	1.80E+08	0	152938.4	133727.83	0	113.247314
2:50:00	2.40E+09	0	2062588.4	1.84E+08	0	157692.42	136663.53	0	116.66435
2:55:00	2.45E+09	0	2173923.5	1.87E+08	0	166204.34	138725.84	0	122.97953
3:00:00	2.47E+09	0	2212357.5	1.89E+08	0	169142.66	139994.06	0	124.91995
3:05:00	2.51E+09	0	2217950	1.92E+08	0	169570.22	141624.81	0	124.58949
3:10:00	2.56E+09	0	2151377.5	1.96E+08	0	164480.47	144583.94	0	120.41959
3:15:00	2.63E+09	0	2056413	2.02E+08	0	157220.12	148014.55	0	114.55142
3:20:00	2.70E+09	0	2126291	2.06E+08	0	162562.5	151169.34	0	118.65947
3:25:00	2.76E+09	0	2099909	2.11E+08	0	160545.5	154492.12	0	117.35187
3:30:00	2.83E+09	0	2013905.8	2.16E+08	0	153970.33	157823.98	0	112.5669
3:35:00	2.88E+09	0	1868736	2.21E+08	0	142871.6	160485.95	0	104.222244
3:40:00	2.92E+09	0	1693561.5	2.24E+08	0	129478.94	162250.19	0	93.91298
3:45:00	2.95E+09	0	1563577.9	2.26E+08	0	119541.3	163434.94	0	86.688095
3:50:00	2.97E+09	0	1302951	2.27E+08	0	99615.5	164183.75	0	71.45955
3:55:00	2.99E+09	0	1205582	2.29E+08	0	92171.305	164773.28	0	65.62178
4:00:00	2.97E+09	0	1256131.323	2.27E+08	0	95992.60674	164416.8484	0	67.54115897
4:05:00	2.95E+09	0	1361817.063	2.26E+08	0	104068.9045	162792.9091	0	72.73679899
4:10:00	2.96E+09	0	1476239.314	2.26E+08	0	112813.1257	162433.6985	0	79.39317081
4:15:00	2.92E+09	0	1467460.931	2.23E+08	0	112142.0921	159921.7008	0	78.6528288
4:20:00	2.88E+09	0	1597133.488	2.205E+08	0	122051.7593	157645.7196	0	86.13907751
4:25:00	2.83E+09	0	1641038.708	2.1649E+08	0	125406.8649	154385.0147	0	88.45709516
4:30:00	2.79E+09	0	1505775.871	2.1349E+08	0	115070.2205	152077.6073	0	81.27945921
4:35:00	2.75E+09	0	1390821.976	2.1048E+08	0	106285.5773	150057.6906	0	75.66376096
4:40:00	2.72E+09	0	1317212.767	2.08478E+08	0	100660.4746	148999.4367	0	71.84206094
4:45:00	2.69E+09	0	1260519.42	2.06474E+08	0	96328.00909	147837.8526	0	69.33228963
4:50:00	2.67E+09	0	1170882.6	2.04469E+08	0	89477.9668	146793.846	0	64.69398276
4:55:00	2.67E+09	0	1148355.51	2.04469E+08	0	87756.60047	147411.2011	0	64.13708024
5:00:00	2.65E+09	0	1276253.588	2.03467E+08	0	97530.48736	147361.1006	0	71.07654113
5:05:00	2.64E+09	0	1406778.2	2.02E+08	0	107553.5	145519.67	0	76.43492
5:10:00	2.42E+09	0	1323448.9	1.85E+08	0	101182.664	133804.44	0	71.707344
5:15:00	1.78E+09	0	1086855.1	1.36E+08	0	83094.2	98708.33	0	58.870037
5:20:00	1.38E+09	0	837586.5	1.06E+08	0	64036.684	76777.49	0	45.190872
5:25:00	9.56E+08	0	538036.9	7.32E+07	0	41134.977	53108.633	0	28.9295
5:30:00	6.04E+08	0	313333.66	4.61E+07	0	23955.57	33652.656	0	16.913612
5:35:00	3.65E+08	0	173631.27	2.79E+07	0	13274.789	20532.04	0	9.478248
5:40:00	2.04E+08	0	79591.69	1.56E+07	0	6085.0996	11598.734	0	4.32428
5:45:00	1.00E+08	0	31810.447	7.67E+06	0	2432.0361	5799.745	0	1.6729283
5:50:00	4.16E+07	0	14882.775	3182132.5	0	1137.8468	2451.5928	0	0.79389286
5:55:00	1.36E+07	0	2301.246	1036140.1	0	175.93938	821.4302	0	0.12130657
6:00:00	7.22E+06	0	0	552154.19	0	0	417.438145	0	0
