			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance				
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			
Entire System	00:30:00	Car	49002	98.84	386873.09	7.90	76070.94	1.55	230618.80	4.71			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	573	1.16	6463.10	11.28	412.89	0.72	6344.58	11.07			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	49575	100.00	393839.09	7.94	76601.36	1.55	237224.67	4.79			Truck	2	N/A	502.90	251.45	117.53	58.77	261.30	130.65			
Greenville Ave Northbound	00:30:00	Car	3604	100.00	7300.70	2.03	1441.45	0.40	3589.41	1.00			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3604	100.00	7313.50	2.03	1443.41	0.40	3596.42	1.00			Truck	3	N/A	12.80	4.27	1.96	0.65	7.01	2.34			
Greenville Ave Southbound	00:30:00	Car	2535	100.00	6128.90	2.42	1106.19	0.44	3153.43	1.24			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2535	100.00	6135.50	2.42	1107.28	0.44	3156.85	1.25			Truck	4	N/A	6.60	1.65	1.10	0.27	3.42	0.86			
IH 635 Eastbound	00:30:00	Car	3379	100.00	15816.62	4.68	3370.68	1.00	14167.90	4.19			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3379	100.00	15816.62	4.68	3370.68	1.00	14167.89	4.19			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:30:00	Car	1974	100.00	6820.50	3.46	387.11	0.20	7304.78	3.70			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	1974	100.00	6820.50	3.46	387.11	0.20	7304.78	3.70			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:30:00	Car	608	100.00	2081.90	3.42	111.38	0.18	2258.88	3.72			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	608	100.00	2081.90	3.42	111.38	0.18	2258.88	3.72			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:30:00	Car	788	100.00	2862.00	3.63	179.23	0.23	3050.60	3.87			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	788	100.00	2862.00	3.63	179.23	0.23	3050.60	3.87			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:30:00	Car	9733	100.00	17965.71	1.85	6970.28	0.72	7441.84	0.76			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	9733	100.00	17984.61	1.85	6978.05	0.72	7449.66	0.77			Truck	10	N/A	18.90	1.89	7.77	0.78	7.82	0.78			
US 75 Frontage Rd Southbound	00:30:00	Car	9679	100.00	15365.40	1.59	3097.23	0.32	8111.41	0.84			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	9679	100.00	15406.00	1.59	3104.03	0.32	8134.86	0.84			Truck	11	N/A	40.60	3.69	6.79	0.62	23.45	2.13			
