Time	FuelConsumptionCar	FuelConsumptionBus	FuelConsumptionTruck	CarbonDioxideCar	CarbonDioxideBus	CarbonDioxideTruck	NitrogenOxidesCar	NitrogenOxidesBus	NitrogenOxidesTruck	
00:30:00	1.19508966E9	0.0	1576384.1	9.1310384E7	0.0	120520.5	72381.29	0.0	93.1773	
00:35:00	1.37953997E9	0.0	1781605.4	1.05406592E8	0.0	136210.48	83465.266	0.0	105.59638	
00:40:00	1.46347725E9	0.0	1860003.8	1.11822552E8	0.0	142204.39	88437.47	0.0	110.303406	
00:45:00	1.49479398E9	0.0	1933994.8	1.1421752E8	0.0	147861.31	90201.59	0.0	115.20293	
00:50:00	1.50070656E9	0.0	1991961.9	1.1467012E8	0.0	152293.08	90447.02	0.0	118.822266	
00:55:00	1.49920832E9	0.0	1997255.5	1.145562E8	0.0	152697.7	90309.48	0.0	119.35646	
01:00:00	1.49396954E9	0.0	2112001.5	1.14154696E8	0.0	161470.5	90053.8	0.0	125.58155	
01:05:00	1.49497267E9	0.0	2292060.5	1.14229752E8	0.0	175236.6	90096.69	0.0	135.61235	
01:10:00	1.51030426E9	0.0	2432623.0	1.1540928E8	0.0	185983.05	90979.74	0.0	143.97293	
01:15:00	1.53838387E9	0.0	2453731.5	1.17561432E8	0.0	187596.83	92606.59	0.0	145.11485	
01:20:00	1.5746231E9	0.0	2478307.0	1.20339688E8	0.0	189475.67	94803.695	0.0	146.6597	
01:25:00	1.61136205E9	0.0	2506735.0	1.23161856E8	0.0	191649.12	96842.56	0.0	148.00755	
01:30:00	1.65378304E9	0.0	2476447.0	1.26421904E8	0.0	189333.39	99127.11	0.0	146.07881	
01:35:00	1.69100979E9	0.0	2325764.8	1.29284448E8	0.0	177813.25	101020.55	0.0	137.06877	
01:40:00	1.71893683E9	0.0	2225177.8	1.31440496E8	0.0	170123.08	102292.73	0.0	129.81168	
01:45:00	1.74146074E9	0.0	2198715.8	1.33177888E8	0.0	168099.9	103224.19	0.0	126.68608	
01:50:00	1.76753549E9	0.0	2133738.2	1.35177696E8	0.0	163132.19	104354.27	0.0	122.77493	
01:55:00	1.79810355E9	0.0	2005977.5	1.37522192E8	0.0	153364.47	105849.125	0.0	115.32686	
02:00:00	1.81860941E9	0.0	1856461.8	1.39095968E8	0.0	141933.53	106735.03	0.0	106.71306	
02:05:00	1.86393587E9	0.0	1892460.2	1.42574848E8	0.0	144685.78	109273.84	0.0	108.9314	
02:10:00	1.93591526E9	0.0	2023467.4	1.480948E8	0.0	154701.55	113310.53	0.0	116.81697	
02:15:00	2.01740698E9	0.0	2029466.4	1.543612E8	0.0	155160.23	117884.14	0.0	117.61658	
02:20:00	2.10004979E9	0.0	1958628.2	1.60722448E8	0.0	149744.36	122381.92	0.0	112.80728	
02:25:00	2.19426586E9	0.0	1883467.6	1.6795912E8	0.0	143998.05	127701.05	0.0	107.90119	
02:30:00	2.29214822E9	0.0	1951746.6	1.75483552E8	0.0	149218.2	132994.05	0.0	111.53	
02:35:00	2.37308211E9	0.0	1980954.4	1.81700672E8	0.0	151451.19	137166.05	0.0	112.70832	
02:40:00	2.42539802E9	0.0	1991250.1	1.85747952E8	0.0	152238.47	139691.33	0.0	113.3021	
02:45:00	2.46947686E9	0.0	2062767.4	1.89131232E8	0.0	157706.22	141798.4	0.0	117.87304	
02:50:00	2.50784922E9	0.0	2106204.0	1.92077936E8	0.0	161027.02	143671.61	0.0	120.19093	
02:55:00	2.52784077E9	0.0	2232393.8	1.93637008E8	0.0	170674.6	144199.88	0.0	127.12588	
03:00:00	2.54231578E9	0.0	2237133.2	1.94768736E8	0.0	171036.9	144629.56	0.0	126.79525	
03:05:00	2.57170534E9	0.0	2198897.2	1.97031712E8	0.0	168113.62	146004.2	0.0	124.28832	
03:10:00	2.62039757E9	0.0	2121031.2	2.00730624E8	0.0	162160.45	148570.94	0.0	119.54054	
03:15:00	2.66976973E9	0.0	2026535.0	2.04493648E8	0.0	154935.78	151026.83	0.0	113.60771	
03:20:00	2.72159539E9	0.0	2088455.1	2.08422656E8	0.0	159669.73	153693.19	0.0	116.9872	
03:25:00	2.77150566E9	0.0	2089561.6	2.12216416E8	0.0	159754.25	156325.42	0.0	117.3525	
03:30:00	2.82737766E9	0.0	2044404.2	2.16456272E8	0.0	156301.83	159270.33	0.0	114.93005	
03:35:00	2.86968525E9	0.0	1934634.0	2.19662752E8	0.0	147909.52	161432.45	0.0	108.390175	
03:40:00	2.89427533E9	0.0	1753482.8	2.21507552E8	0.0	134059.88	162604.94	0.0	97.51533	
03:45:00	2.91274112E9	0.0	1619868.1	2.2290448E8	0.0	123844.67	163652.55	0.0	89.514656	
03:50:00	2.91983565E9	0.0	1352162.0	2.234556E8	0.0	103377.69	163904.47	0.0	74.130806	
03:55:00	2.92541338E9	0.0	1242817.0	2.23869424E8	0.0	95018.01	164195.72	0.0	67.75679	
