			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance				
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			
Entire System	00:30:00	Car	49000	98.84	386937.19	7.90	75208.84	1.53	231422.31	4.72			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	575	1.16	6475.80	11.26	411.99	0.72	6358.95	11.06			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	49575	100.00	393920.47	7.95	75742.06	1.53	238043.59	4.80			Truck	3	N/A	507.60	169.20	121.23	40.41	262.43	87.48			
Greenville Ave Northbound	00:30:00	Car	3647	100.00	7327.50	2.01	1447.46	0.40	3600.26	0.99			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3647	100.00	7340.40	2.01	1449.54	0.40	3607.27	0.99			Truck	3	N/A	12.90	4.30	2.08	0.69	7.01	2.34			
Greenville Ave Southbound	00:30:00	Car	2540	100.00	6152.00	2.42	1110.29	0.44	3166.63	1.25			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2540	100.00	6158.40	2.42	1111.22	0.44	3170.06	1.25			Truck	4	N/A	6.40	1.60	0.94	0.23	3.42	0.86			
IH 635 Eastbound	00:30:00	Car	3371	100.00	15797.12	4.69	3358.53	1.00	14159.80	4.20			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3371	100.00	15797.12	4.69	3358.53	1.00	14159.80	4.20			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:30:00	Car	1974	100.00	6815.10	3.45	387.87	0.20	7297.97	3.70			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	1974	100.00	6815.10	3.45	387.87	0.20	7297.97	3.70			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:30:00	Car	611	100.00	2085.60	3.41	111.70	0.18	2263.43	3.70			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	611	100.00	2085.60	3.41	111.70	0.18	2263.43	3.70			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:30:00	Car	790	100.00	2855.60	3.61	178.24	0.23	3044.87	3.85			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	790	100.00	2855.60	3.61	178.24	0.23	3044.87	3.85			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:30:00	Car	9830	100.00	18111.71	1.84	7093.74	0.72	7459.58	0.76			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	9830	100.00	18131.71	1.84	7101.58	0.72	7468.03	0.76			Truck	11	N/A	20.00	1.82	7.85	0.71	8.45	0.77			
US 75 Frontage Rd Southbound	00:30:00	Car	9657	100.00	15190.80	1.57	2962.46	0.31	8074.66	0.84			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	9657	100.00	15229.70	1.58	2969.08	0.31	8097.02	0.84			Truck	10	N/A	38.90	3.89	6.63	0.66	22.36	2.24			
US 75 HOV Northbound	00:30:00	Car	50	100.00	237.80	4.76	5.25	0.11	239.66	4.79			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	50	100.00	237.80	4.76	5.25	0.11	239.66	4.79			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 HOV Southbound	00:30:00	Car	52	100.00	325.80	6.27	11.06	0.21	327.02	6.29			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	52	100.00	325.80	6.27	11.06	0.21	327.02	6.29			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Northbound	00:30:00	Car	5166	100.00	31639.41	6.12	4256.34	0.82	30813.01	5.96			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	5166	100.00	31669.31	6.13	4258.68	0.82	30843.97	5.97			Truck	4	N/A	29.90	7.47	2.34	0.58	30.97	7.74			
US 75 Southbound	00:30:00	Car	4654	100.00	27934.01	6.00	2418.19	0.52	28790.46	6.19			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4654	100.00	27953.91	6.01	2419.15	0.52	28811.86	6.19			Truck	4	N/A	19.90	4.97	0.96	0.24	21.41	5.35			
Entire System	00:35:00	Car	56380	98.74	448738.19	7.96	89639.80	1.59	268636.22	4.76			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	718	1.26	7948.20	11.07	517.09	0.72	7788.53	10.85			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	57098	100.00	457256.72	8.01	90291.03	1.58	276722.22	4.85			Truck	7	N/A	570.40	81.49	134.13	19.16	297.42	42.49			
Greenville Ave Northbound	00:35:00	Car	4180	100.00	9072.70	2.17	1853.82	0.44	4445.79	1.06			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4180	100.00	9085.60	2.17	1855.90	0.44	4452.79	1.07			Truck	3	N/A	12.90	4.30	2.08	0.69	7.01	2.34			
Greenville Ave Southbound	00:35:00	Car	2891	100.00	7329.50	2.54	1358.39	0.47	3751.31	1.30			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2891	100.00	7337.00	2.54	1359.40	0.47	3755.24	1.30			Truck	5	N/A	7.50	1.50	1.01	0.20	3.94	0.79			
IH 635 Eastbound	00:35:00	Car	3776	100.00	18128.81	4.80	4107.65	1.09	16011.32	4.24			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3776	100.00	18128.81	4.80	4107.65	1.09	16011.32	4.24			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:35:00	Car	2394	100.00	8142.51	3.40	472.42	0.20	8721.80	3.64			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2394	100.00	8142.51	3.40	472.42	0.20	8721.80	3.64			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:35:00	Car	702	100.00	2307.00	3.29	123.98	0.18	2511.68	3.58			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	702	100.00	2307.00	3.29	123.98	0.18	2511.68	3.58			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:35:00	Car	965	100.00	3474.40	3.60	218.93	0.23	3707.21	3.84			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	965	100.00	3474.40	3.60	218.93	0.23	3707.21	3.84			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:35:00	Car	11120	100.00	20673.41	1.86	8268.09	0.74	8419.19	0.76			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	11120	100.00	20705.91	1.86	8279.12	0.74	8434.19	0.76			Truck	13	N/A	32.50	2.50	11.03	0.85	14.99	1.15			
US 75 Frontage Rd Southbound	00:35:00	Car	10878	100.00	17380.69	1.60	3571.37	0.33	9155.65	0.84			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	10878	100.00	17426.89	1.60	3579.13	0.33	9182.06	0.84			Truck	12	N/A	46.20	3.85	7.77	0.65	26.42	2.20			
US 75 HOV Northbound	00:35:00	Car	60	100.00	370.60	6.18	9.12	0.15	371.73	6.20			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	60	100.00	370.60	6.18	9.12	0.15	371.73	6.20			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 HOV Southbound	00:35:00	Car	58	100.00	393.20	6.78	13.63	0.23	393.95	6.79			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	58	100.00	393.20	6.78	13.63	0.23	393.95	6.79			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
