			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
Entire System	0:30:00	Car	49000	98.84	386937.19	7.9	75208.84	1.53	231422.31	4.72			Bus	0	0	0	0	0	0	0	0			Rail	575	1.16	6475.8	11.26	411.99	0.72	6358.95	11.06			Park and Ride	0	0	0	0	0	0	0	0			Total	49575	100	393920.47	7.95	75742.06	1.53	238043.59	4.8			Truck	3	N/A	507.6	169.2	121.23	40.41	262.43	87.48
Greenville Ave Northbound	0:30:00	Car	3647	100	7327.5	2.01	1447.46	0.4	3600.26	0.99			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3647	100	7340.4	2.01	1449.54	0.4	3607.27	0.99			Truck	3	N/A	12.9	4.3	2.08	0.69	7.01	2.34
Greenville Ave Southbound	0:30:00	Car	2540	100	6152	2.42	1110.29	0.44	3166.63	1.25			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2540	100	6158.4	2.42	1111.22	0.44	3170.06	1.25			Truck	4	N/A	6.4	1.6	0.94	0.23	3.42	0.86
IH 635 Eastbound	0:30:00	Car	3371	100	15797.12	4.69	3358.53	1	14159.8	4.2			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3371	100	15797.12	4.69	3358.53	1	14159.8	4.2			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	0:30:00	Car	1974	100	6815.1	3.45	387.87	0.2	7297.97	3.7			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1974	100	6815.1	3.45	387.87	0.2	7297.97	3.7			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	0:30:00	Car	611	100	2085.6	3.41	111.7	0.18	2263.43	3.7			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	611	100	2085.6	3.41	111.7	0.18	2263.43	3.7			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	0:30:00	Car	790	100	2855.6	3.61	178.24	0.23	3044.87	3.85			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	790	100	2855.6	3.61	178.24	0.23	3044.87	3.85			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	0:30:00	Car	9830	100	18111.71	1.84	7093.74	0.72	7459.58	0.76			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	9830	100	18131.71	1.84	7101.58	0.72	7468.03	0.76			Truck	11	N/A	20	1.82	7.85	0.71	8.45	0.77
US 75 Frontage Rd Southbound	0:30:00	Car	9657	100	15190.8	1.57	2962.46	0.31	8074.66	0.84			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	9657	100	15229.7	1.58	2969.08	0.31	8097.02	0.84			Truck	10	N/A	38.9	3.89	6.63	0.66	22.36	2.24
