			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance				
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			
Entire System	00:30:00	Car	48514	98.82	379604.47	7.82	71767.65	1.48	228077.48	4.70			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	579	1.18	6628.80	11.45	445.28	0.77	6484.92	11.20			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	49093	100.00	386734.31	7.88	72324.35	1.47	234827.41	4.78			Truck	2	N/A	500.80	250.40	111.43	55.72	265.01	132.50			
Greenville Ave Northbound	00:30:00	Car	3513	100.00	7390.00	2.10	1467.08	0.42	3631.40	1.03			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3513	100.00	7402.80	2.11	1469.15	0.42	3638.41	1.04			Truck	2	N/A	12.80	6.40	2.06	1.03	7.01	3.50			
Greenville Ave Southbound	00:30:00	Car	2533	100.00	6134.10	2.42	1070.30	0.42	3176.56	1.25			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2533	100.00	6140.20	2.42	1070.95	0.42	3179.98	1.26			Truck	4	N/A	6.10	1.53	0.64	0.16	3.42	0.86			
IH 635 Eastbound	00:30:00	Car	3382	100.00	15610.72	4.62	3200.95	0.95	14121.63	4.18			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3382	100.00	15610.72	4.62	3200.95	0.95	14121.63	4.18			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:30:00	Car	2052	100.00	7057.10	3.44	406.08	0.20	7550.23	3.68			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2052	100.00	7057.10	3.44	406.08	0.20	7550.23	3.68			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:30:00	Car	595	100.00	2065.60	3.47	111.60	0.19	2240.14	3.76			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	595	100.00	2065.60	3.47	111.60	0.19	2240.14	3.76			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:30:00	Car	836	100.00	2908.70	3.48	183.50	0.22	3102.35	3.71			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	836	100.00	2908.70	3.48	183.50	0.22	3102.35	3.71			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:30:00	Car	9293	100.00	14467.31	1.56	3644.26	0.39	7331.06	0.79			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	9293	100.00	14487.11	1.56	3649.98	0.39	7340.95	0.79			Truck	9	N/A	19.80	2.20	5.72	0.64	9.89	1.10			
US 75 Frontage Rd Southbound	00:30:00	Car	9627	100.00	14677.51	1.52	2810.26	0.29	7834.66	0.81			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	9627	100.00	14716.51	1.53	2817.00	0.29	7857.04	0.82			Truck	10	N/A	39.00	3.90	6.73	0.67	22.38	2.24			
US 75 HOV Northbound	00:30:00	Car	60	100.00	302.20	5.04	7.91	0.13	303.80	5.06			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	60	100.00	302.20	5.04	7.91	0.13	303.80	5.06			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
