Time	FuelConsumptionCar	FuelConsumptionBus	FuelConsumptionTruck	CarbonDioxideCar	CarbonDioxideBus	CarbonDioxideTruck	NitrogenOxidesCar	NitrogenOxidesBus	NitrogenOxidesTruck
0:30:00	1.18E+09	0	1585080.5	8.99E+07	0	121185.39	71159.81	0	93.95516
0:35:00	1.36E+09	0	1779169.5	1.04E+08	0	136024.23	82008.97	0	105.62242
0:40:00	1.44E+09	0	1840931.6	1.10E+08	0	140746.2	86938.87	0	109.20904
0:45:00	1.47E+09	0	1909248.8	1.12E+08	0	145969.27	88938.67	0	113.730415
0:50:00	1.48E+09	0	1970057.1	1.13E+08	0	150618.28	89595.234	0	117.56507
0:55:00	1.49E+09	0	1972838.8	1.13E+08	0	150830.94	89771.84	0	117.90375
1:00:00	1.48E+09	0	2097887	1.13E+08	0	160391.42	89687.39	0	124.575485
1:05:00	1.48E+09	0	2278577	1.13E+08	0	174205.78	89797.51	0	134.62283
1:10:00	1.49E+09	0	2428014.8	1.14E+08	0	185630.88	90323.484	0	143.73082
1:15:00	1.50E+09	0	2461494	1.15E+08	0	188190.5	91035.66	0	146.07822
1:20:00	1.51E+09	0	2497109.5	1.16E+08	0	190913.38	91776.31	0	148.39398
1:25:00	1.53E+09	0	2544513	1.17E+08	0	194537.55	92860.34	0	150.99951
1:30:00	1.56E+09	0	2486769	1.19E+08	0	190122.69	94204.734	0	147.48288
1:35:00	1.58E+09	0	2315011.2	1.21E+08	0	176991.25	95357.695	0	137.35533
1:40:00	1.59E+09	0	2222746.5	1.22E+08	0	169937.25	95976.875	0	130.82988
1:45:00	1.60E+09	0	2187458.2	1.23E+08	0	167239.4	96276.08	0	127.0298
1:50:00	1.62E+09	0	2087223	1.24E+08	0	159576.05	96929	0	120.67638
1:55:00	1.63E+09	0	1941541.8	1.25E+08	0	148438.17	97514.22	0	112.283775
2:00:00	1.64E+09	0	1797608.2	1.25E+08	0	137433.98	97703.305	0	104.2355
2:05:00	1.66E+09	0	1856762.5	1.27E+08	0	141956.48	98961.83232	0	107.698166
2:10:00	1.72E+09	0	1982823.5	1.32E+08	0	151594.16	102104.9703	0	114.910645
2:15:00	1.80E+09	0	1991494.2	1.38E+08	0	152256.97	106196.3188	0	115.617615
2:20:00	1.89E+09	0	1911463	1.44E+08	0	146138.33	110506.6088	0	110.600266
2:25:00	1.99E+09	0	1830789.9	1.53E+08	0	139970.6	115820.9715	0	104.84704
2:30:00	2.12E+09	0	1909449.5	1.62E+08	0	145984.34	122207.3113	0	108.598656
2:35:00	2.23E+09	0	1943091.2	1.71E+08	0	148556.36	127888.2011	0	110.02288
2:40:00	2.30E+09	0	1965571.8	1.76E+08	0	150275.12	131593.5365	0	111.095634
2:45:00	2.36E+09	0	2021395	1.81E+08	0	154543.08	134364.6283	0	114.12218
2:50:00	2.41E+09	0	2097226	1.85E+08	0	160340.53	137305.2004	0	118.60055
2:55:00	2.45E+09	0	2209319.8	1.88E+08	0	168910.42	139156.3647	0	124.66502
3:00:00	2.47E+09	0	2226428.5	1.90E+08	0	170218.44	140028.6792	0	125.226265
3:05:00	2.51E+09	0	2229852.8	1.92E+08	0	170480.25	141537.8828	0	125.26519
3:10:00	2.56E+09	0	2164728.8	1.96E+08	0	165501.12	144332.5384	0	121.13891
3:15:00	2.63E+09	0	2056584	2.02E+08	0	157233	148017.1053	0	113.94562
3:20:00	2.70E+09	0	2111378.5	2.07E+08	0	161422.22	151583.8158	0	116.839195
3:25:00	2.78E+09	0	2122682.5	2.12E+08	0	162286.4	155308.37	0	117.611694
3:30:00	2.85E+09	0	2066027.8	2.18E+08	0	157954.92	159054.5759	0	114.57763
3:35:00	2.90E+09	0	1942379.2	2.22E+08	0	148501.58	161826.8916	0	107.19325
3:40:00	2.94E+09	0	1750696.1	2.25E+08	0	133846.89	163320.7789	0	95.83142
3:45:00	2.96E+09	0	1647464.6	2.26E+08	0	125954.6	164145.9965	0	90.6755
3:50:00	2.97E+09	0	1377035.8	2.27E+08	0	105279.42	164701.8344	0	74.974
3:55:00	2.95E+09	0	1243737.495	2.26E+08	0	95088.3714	163629.2879	0	67.4064864
4:00:00	2.97E+09	0	1247364.162	2.27E+08	0	95365.6407	163781.5976	0	67.6622331
4:05:00	2.97E+09	0	1262831.625	2.27E+08	0	96548.2056	163772.5811	0	68.2551738
4:10:00	2.97E+09	0	1325905.218	2.27E+08	0	101370.4164	163157.0681	0	71.92224765
4:15:00	2.96E+09	0	1359505.422	2.26E+08	0	103939.2486	162244.3371	0	73.1432889
4:20:00	2.87E+09	0	1455344.678	2.19E+08	0	111266.5169	156846.7484	0	78.20821753
4:25:00	2.80E+09	0	1472586.64	2.14E+08	0	112584.7223	152608.388	0	78.7541735
4:30:00	2.77E+09	0	1370719.755	2.12E+08	0	104796.628	150894.5649	0	72.84515925
4:35:00	2.74E+09	0	1312865.04	2.10E+08	0	100373.4375	149551.4518	0	69.691373
4:40:00	2.71E+09	0	1315252.675	2.08E+08	0	100555.98	148483.4349	0	70.28271
4:45:00	2.74E+09	0	1310134.865	2.10E+08	0	100164.6832	150469.2868	0	70.7526148
4:50:00	2.72E+09	0	1266204.05	2.08E+08	0	96806	149278.7876	0	68.8203845
4:55:00	2.69E+09	0	1278999.417	2.06E+08	0	97784.29835	148723.3425	0	70.2179023
5:00:00	2.67E+09	0	1398152.374	2.05E+08	0	106894.0097	148258.4854	0	77.0927773
5:05:00	2.64E+09	0	1480975.8	2.03E+08	0	113226.234	146243.97	0	81.73889
5:10:00	2.42E+09	0	1361038.8	1.85E+08	0	104056.56	133764.94	0	74.84682
5:15:00	2.12E+09	0	1204716.4	1.62E+08	0	92105.16	117338.66	0	66.01262
5:20:00	1.76E+09	0	1005557.75	1.35E+08	0	76878.734	98016.51	0	55.037735
5:25:00	1.38E+09	0	750621.56	1.05E+08	0	57387.883	76382.18	0	40.98932
5:30:00	9.64E+08	0	450182.8	7.37E+07	0	34418.22	53405.992	0	24.500694
5:35:00	6.20E+08	0	218633.92	4.74E+07	0	16715.383	34416.67	0	12.083824
5:40:00	3.93E+08	0	92305.83	3.00E+07	0	7057.1357	21953.934	0	5.322466
5:45:00	2.38E+08	0	23179.691	1.82E+07	0	1772.177	13352.664	0	1.3420181
5:50:00	1.35E+08	0	4898.0234	1.03E+07	0	374.47318	7613.169	0	0.28297403
5:55:00	7.17E+07	0	0	5483965.5	0	0	4065.2703	0	0
6:00:00	3.52E+07	0	0	2689469	0	0	1985.369	0	0
