Time	FuelConsumptionCar	FuelConsumptionBus	FuelConsumptionTruck	CarbonDioxideCar	CarbonDioxideBus	CarbonDioxideTruck	NitrogenOxidesCar	NitrogenOxidesBus	NitrogenOxidesTruck
0:30:00	1.18E+09	0	1585080.5	8.99E+07	0	121185.39	71159.81	0	93.95516
0:35:00	1.36E+09	0	1779169.5	1.04E+08	0	136024.23	82008.97	0	105.62242
0:40:00	1.44E+09	0	1840931.6	1.10E+08	0	140746.2	86938.87	0	109.20904
0:45:00	1.47E+09	0	1909248.8	1.12E+08	0	145969.27	88938.67	0	113.730415
0:50:00	1.48E+09	0	1970057.1	1.13E+08	0	150618.28	89595.234	0	117.56507
0:55:00	1.49E+09	0	1972838.8	1.13E+08	0	150830.94	89771.84	0	117.90375
1:00:00	1.48E+09	0	2097887	1.13E+08	0	160391.42	89687.39	0	124.575485
1:05:00	1.48E+09	0	2278577	1.13E+08	0	174205.78	89797.51	0	134.62283
1:10:00	1.49E+09	0	2428014.8	1.14E+08	0	185630.88	90323.484	0	143.73082
1:15:00	1.50E+09	0	2461494	1.15E+08	0	188190.5	91035.66	0	146.07822
1:20:00	1.51E+09	0	2497109.5	1.16E+08	0	190913.38	91776.31	0	148.39398
1:25:00	1.53E+09	0	2544513	1.17E+08	0	194537.55	92860.34	0	150.99951
1:30:00	1.56E+09	0	2486769	1.19E+08	0	190122.69	94204.734	0	147.48288
1:35:00	1.58E+09	0	2315011.2	1.21E+08	0	176991.25	95357.695	0	137.35533
1:40:00	1.59E+09	0	2222746.5	1.22E+08	0	169937.25	95976.875	0	130.82988
1:45:00	1.60E+09	0	2187458.2	1.23E+08	0	167239.4	96276.08	0	127.0298
1:50:00	1.62E+09	0	2087223	1.24E+08	0	159576.05	96929	0	120.67638
1:55:00	1.63E+09	0	1941541.8	1.25E+08	0	148438.17	97514.22	0	112.283775
2:00:00	1.64E+09	0	1797608.2	1.25E+08	0	137433.98	97703.305	0	104.2355
2:05:00	1.66E+09	0	1859258.8	1.27E+08	0	142147.4	98960.53	0	107.79586
2:10:00	1.72E+09	0	1969232.2	1.32E+08	0	150555.13	102306.77	0	114.07559
2:15:00	1.79E+09	0	1954128.8	1.37E+08	0	149400.31	106712.44	0	113.05932
2:20:00	1.88E+09	0	1870356.6	1.44E+08	0	142995.62	111043.905	0	107.65959
2:25:00	1.99E+09	0	1846269.4	1.52E+08	0	141154.08	116234.19	0	104.32946
2:30:00	2.11E+09	0	1936480.4	1.62E+08	0	148051.01	122463.31	0	109.00699
2:35:00	2.22E+09	0	2014989.8	1.70E+08	0	154053.4	127468.545	0	114.32311
2:40:00	2.27E+09	0	1975977.6	1.74E+08	0	151070.94	130047.14	0	112.249904
2:45:00	2.33E+09	0	2018247.9	1.79E+08	0	154302.7	132950.06	0	113.79659
2:50:00	2.40E+09	0	2157971.8	1.84E+08	0	164984.89	136721.12	0	121.345595
2:55:00	2.45E+09	0	2339139.5	1.88E+08	0	178835.36	138671.94	0	130.76104
3:00:00	2.48E+09	0	2427664.2	1.90E+08	0	185602.96	140027.96	0	134.48576
3:05:00	2.52E+09	0	2477334	1.94E+08	0	189400.14	141221.53	0	135.10569
3:10:00	2.57E+09	0	2303506.4	1.99E+08	0	176110.41	143587.61	0	123.35724
3:15:00	2.65E+09	0	2220000.6	2.04E+08	0	169726.18	147535.89	0	119.47345
3:20:00	2.71E+09	0	2185766	2.08E+08	0	167108.87	151601.85	0	117.5591
3:25:00	2.79E+09	0	2079386.5	2.14E+08	0	158976.02	155550.45	0	113.617324
3:30:00	2.86E+09	0	1869597.6	2.19E+08	0	142937.28	159105.92	0	102.64173
3:35:00	2.91E+09	0	1605670.8	2.23E+08	0	122759.3	161639.63	0	88.28202
3:40:00	2.94E+09	0	1543325.4	2.25E+08	0	117992.63	163170.19	0	85.20126
3:45:00	2.96E+09	0	1491020.6	2.27E+08	0	113993.724	163510.45	0	81.17643
3:50:00	2.97E+09	0	1321130.7	2.27E+08	0	101004.952	163867.12	0	70.210618
3:55:00	2.96E+09	0	1323940.7	2.27E+08	0	101219.98	163818.62	0	69.03576
4:00:00	2.97E+09	0	1317001.1	2.27E+08	0	100689.5275	164176.14	0	70.153415
4:05:00	2.95E+09	0	1393759.25	2.26E+08	0	106557.93	163089.82	0	73.976075
4:10:00	2.93E+09	0	1517590.45	2.24E+08	0	116025.3425	161033.49	0	81.3068725
4:15:00	2.89E+09	0	1500683.9	2.21E+08	0	114732.7505	158881.36	0	80.09051
4:20:00	2.85E+09	0	1635332.65	2.18E+08	0	125027.195	156464.53	0	88.22618
4:25:00	2.80E+09	0	1686960	2.14E+08	0	128974.285	153192.82	0	90.9617725
4:30:00	2.75E+09	0	1538656.5	2.11E+08	0	117635.95	150693.355	0	83.180017
4:35:00	2.71E+09	0	1416277	2.08E+08	0	108279.67	148714.505	0	77.322915
4:40:00	2.69E+09	0	1317916.53	2.06E+08	0	100759.6673	147969.677	0	72.016841
4:45:00	2.68E+09	0	1259611.825	2.05E+08	0	96302.0775	147072.655	0	69.4360825
4:50:00	2.66E+09	0	1166489.165	2.04E+08	0	89182.543	146641.199	0	64.5186749
4:55:00	2.66E+09	0	1137634.53	2.04E+08	0	86976.5156	146993.146	0	63.635223
5:00:00	2.65E+09	0	1271286.765	2.03E+08	0	97194.7598	147191.295	0	70.85620925
5:05:00	2.55E+09	0	1310413.28	1.96E+08	0	100186.1306	141976.878	0	72.4435155
5:10:00	2.33E+09	0	1228974.965	1.79E+08	0	93959.8503	130094.2845	0	67.74823
5:15:00	2.04E+09	0	1130459.435	1.56E+08	0	86427.9745	113910.677	0	62.3887177
5:20:00	1.69E+09	0	963841.895	1.30E+08	0	73689.4165	94755.5977	0	52.99251685
5:25:00	1.30E+09	0	714376.955	9.98E+07	0	54616.8683	72936.6188	0	39.0708707
5:30:00	8.90E+08	0	423812.2225	6.80E+07	0	32402.0933	49694.2365	0	23.21399015
5:35:00	5.45E+08	0	210463.224	4.17E+07	0	16090.7288	30491.9262	0	11.7288631
5:40:00	3.20E+08	0	98317.0975	2.44E+07	0	7516.72425	18001.0095	0	5.64508462
5:45:00	1.74E+08	0	29360.8855	1.33E+07	0	2244.75414	9851.9336	0	1.641278305
5:50:00	8.22E+07	0	-38.70833	6.29E+06	0	-2.9594042	4711.605515	0	-0.0022363
5:55:00	3.03E+07	0	0	2314319.61	0	0	1747.43024	0	0
6:00:00	7.22E+06	0	0	552154.19	0	0	417.438145	0	0
