Time	FuelConsumptionCar	FuelConsumptionBus	FuelConsumptionTruck	CarbonDioxideCar	CarbonDioxideBus	CarbonDioxideTruck	NitrogenOxidesCar	NitrogenOxidesBus	NitrogenOxidesTruck
0:30:00	1.18E+09	0	1585080.5	8.99E+07	0	121185.39	71159.81	0	93.95516
0:35:00	1.36E+09	0	1779169.5	1.04E+08	0	136024.23	82008.97	0	105.62242
0:40:00	1.44E+09	0	1840931.6	1.10E+08	0	140746.2	86938.87	0	109.20904
0:45:00	1.47E+09	0	1909248.8	1.12E+08	0	145969.27	88938.67	0	113.730415
0:50:00	1.48E+09	0	1970057.1	1.13E+08	0	150618.28	89595.234	0	117.56507
0:55:00	1.49E+09	0	1972838.8	1.13E+08	0	150830.94	89771.84	0	117.90375
1:00:00	1.48E+09	0	2097887	1.13E+08	0	160391.42	89687.39	0	124.575485
1:05:00	1.48E+09	0	2278577	1.13E+08	0	174205.78	89797.51	0	134.62283
1:10:00	1.49E+09	0	2428014.8	1.14E+08	0	185630.88	90323.484	0	143.73082
1:15:00	1.50E+09	0	2461494	1.15E+08	0	188190.5	91035.66	0	146.07822
1:20:00	1.51E+09	0	2497109.5	1.16E+08	0	190913.38	91776.31	0	148.39398
1:25:00	1.53E+09	0	2544513	1.17E+08	0	194537.55	92860.34	0	150.99951
1:30:00	1.56E+09	0	2486769	1.19E+08	0	190122.69	94204.734	0	147.48288
1:35:00	1.58E+09	0	2315011.2	1.21E+08	0	176991.25	95357.695	0	137.35533
1:40:00	1.59E+09	0	2222746.5	1.22E+08	0	169937.25	95976.875	0	130.82988
1:45:00	1.60E+09	0	2187458.2	1.23E+08	0	167239.4	96276.08	0	127.0298
1:50:00	1.62E+09	0	2087223	1.24E+08	0	159576.05	96929	0	120.67638
1:55:00	1.63E+09	0	1941541.8	1.25E+08	0	148438.17	97514.22	0	112.283775
2:00:00	1.64E+09	0	1797608.2	1.25E+08	0	137433.98	97703.305	0	104.2355
2:05:00	1.66E+09	0	1855421.9	1.27E+08	0	141854	98961.445	0	107.61615
2:10:00	1.72E+09	0	1981310.8	1.32E+08	0	151478.53	102142.945	0	114.84544
2:15:00	1.80E+09	0	1981472	1.38E+08	0	151490.75	106313.59	0	115.01225
2:20:00	1.89E+09	0	1900858.2	1.45E+08	0	145327.58	110714.97	0	109.9034
2:25:00	2.00E+09	0	1831193.2	1.53E+08	0	140001.44	116060.734	0	104.57357
2:30:00	2.12E+09	0	1916926.1	1.62E+08	0	146555.94	122073.29	0	108.675125
2:35:00	2.22E+09	0	1962344.1	1.70E+08	0	150028.34	127502.83	0	111.011566
2:40:00	2.30E+09	0	1982109.2	1.76E+08	0	151539.48	131264.67	0	111.99631
2:45:00	2.35E+09	0	2043555.2	1.80E+08	0	156237.19	133804.86	0	115.28404
2:50:00	2.40E+09	0	2117062	1.84E+08	0	161856.94	136356.38	0	119.35289
2:55:00	2.44E+09	0	2222163.2	1.87E+08	0	169892.25	138220.4	0	125.29926
3:00:00	2.48E+09	0	2239901	1.90E+08	0	171248.36	139956.36	0	126.13945
3:05:00	2.53E+09	0	2233854	1.94E+08	0	170785.97	142341.25	0	125.50973
3:10:00	2.58E+09	0	2169973.5	1.98E+08	0	165901.95	145255.3	0	121.185
3:15:00	2.66E+09	0	2071196.8	2.04E+08	0	158350.2	149027.38	0	114.78915
3:20:00	2.73E+09	0	2124872.5	2.09E+08	0	162453.9	152861.61	0	117.494
3:25:00	2.80E+09	0	2128995.5	2.15E+08	0	162769.1	156741.34	0	117.74938
3:30:00	2.87E+09	0	2079451.9	2.19E+08	0	158981.3	159891.8	0	115.138
3:35:00	2.88E+09	0	1929163.995	2.20E+08	0	147491.3484	160331.4603	0	106.2248814
3:40:00	2.91E+09	0	1738939.059	2.23E+08	0	132948.1098	161751.8034	0	95.2053696
3:45:00	2.93E+09	0	1626705.432	2.24E+08	0	124367.4581	162273.9195	0	89.2708938
3:50:00	2.94E+09	0	1362170.799	2.25E+08	0	104142.8916	162438.2298	0	74.2670676
3:55:00	2.95E+09	0	1257294.951	2.26E+08	0	96124.842	162528.5772	0	68.31699435
4:00:00	2.96E+09	0	1254129.822	2.27E+08	0	95882.8761	162641.9916	0	67.9254048
4:05:00	2.97E+09	0	1302272.73	2.27E+08	0	99563.5575	162365.0688	0	70.4311443
4:10:00	2.91E+09	0	1352853.697	2.22E+08	0	103430.6654	160396.7893	0	74.12028076
4:15:00	2.89E+09	0	1388054.696	2.21E+08	0	106121.9036	159144.3618	0	75.57313015
4:20:00	2.87E+09	0	1533949.535	2.19E+08	0	117276.1382	157492.7335	0	83.67188388
4:25:00	2.83E+09	0	1570502.406	2.16E+08	0	120070.7239	155122.1143	0	85.247613
4:30:00	2.79E+09	0	1483898.072	2.14E+08	0	113449.5024	153009.0332	0	80.13968865
4:35:00	2.76E+09	0	1409371.702	2.11E+08	0	107751.7309	151249.2322	0	76.15942579
4:40:00	2.73E+09	0	1374194.432	2.09E+08	0	105062.3065	149834.8116	0	74.48957105
4:45:00	2.71E+09	0	1330729.906	2.08E+08	0	101739.2876	149036.8434	0	72.59602281
4:50:00	2.70E+09	0	1277745.48	2.07E+08	0	97688.46135	148544.8655	0	70.19232731
4:55:00	2.70E+09	0	1299235.104	2.07E+08	0	99331.44175	148937.1122	0	71.96803015
5:00:00	2.69E+09	0	1405209.11	2.06E+08	0	107433.5338	149373.4475	0	78.07755175
5:05:00	2.68E+09	0	1463861.2	2.05E+08	0	111917.664	146872.38	0	79.78458
5:10:00	2.48E+09	0	1390212.5	1.90E+08	0	106286.94	135511.84	0	75.66078
5:15:00	2.19E+09	0	1257396.5	1.68E+08	0	96132.62	119753.766	0	68.0327
5:20:00	1.85E+09	0	1066607.8	1.42E+08	0	81546.09	100897.61	0	56.87058
5:25:00	1.46E+09	0	819653.2	1.12E+08	0	62665.504	79440.74	0	42.992134
5:30:00	1.05E+09	0	530936.25	8.06E+07	0	40592.062	56399.86	0	26.881266
5:35:00	7.11E+08	0	333049.22	5.43E+07	0	25462.873	37436.617	0	16.232388
5:40:00	4.86E+08	0	214722.6	3.71E+07	0	16416.367	25038.111	0	9.627057
5:45:00	3.34E+08	0	163255.97	2.55E+07	0	12481.547	16646.133	0	6.6199303
5:50:00	2.37E+08	0	155402.1	1.81E+07	0	11881.088	11233.365	0	6.1900053
5:55:00	1.79E+08	0	155402.1	1.37E+07	0	11881.088	7987.5244	0	6.190005
6:00:00	1.49E+08	0	155772.22	1.14E+07	0	11909.386	6296.447	0	6.225257
